representation,k,seed_a,seed_b,ari_between_runs
final_precluster_matrix,8,7,168,0.9993537917632677
final_precluster_matrix,8,7,256,0.9990396268980313
final_precluster_matrix,8,7,512,0.998395935582899
final_precluster_matrix,8,7,1024,0.9983794098209827
final_precluster_matrix,8,7,2026,0.9991293886269444
final_precluster_matrix,8,21,42,0.9987504247917433
final_precluster_matrix,8,21,84,0.9995712002902293
final_precluster_matrix,8,21,123,0.9998573850831715
final_precluster_matrix,8,21,168,0.9998573850831715
final_precluster_matrix,8,21,256,0.9994289273057527
final_precluster_matrix,8,21,512,0.9987607970587762
final_precluster_matrix,8,21,1024,0.9987338764578355
final_precluster_matrix,8,21,2026,0.9997789839890365
final_precluster_matrix,8,42,84,0.9986085439721563
final_precluster_matrix,8,42,123,0.9987555960957989
final_precluster_matrix,8,42,168,0.9987555960957989
final_precluster_matrix,8,42,256,0.9984823710062677
final_precluster_matrix,8,42,512,0.999773699398237
final_precluster_matrix,8,42,1024,0.9995605840740092
final_precluster_matrix,8,42,2026,0.9989714481585045
final_precluster_matrix,8,84,123,0.9996790112165437
final_precluster_matrix,8,84,168,0.9996790112165437
final_precluster_matrix,8,84,256,0.9992315983385117
final_precluster_matrix,8,84,512,0.9987559629486525
final_precluster_matrix,8,84,1024,0.9985672507820904
final_precluster_matrix,8,84,2026,0.999489365546043
final_precluster_matrix,8,123,168,1.0
final_precluster_matrix,8,123,256,0.9993785341873607
final_precluster_matrix,8,123,512,0.9988233675935547
final_precluster_matrix,8,123,1024,0.9987390525661511
final_precluster_matrix,8,123,2026,0.9996711797085778
final_precluster_matrix,8,168,256,0.9993785341873607
final_precluster_matrix,8,168,512,0.9988233675935547
final_precluster_matrix,8,168,1024,0.9987390525661511
final_precluster_matrix,8,168,2026,0.9996711797085778
final_precluster_matrix,8,256,512,0.9983482973364506
final_precluster_matrix,8,256,1024,0.9981629803293849
final_precluster_matrix,8,256,2026,0.9995108026084445
final_precluster_matrix,8,512,1024,0.999625049294943
final_precluster_matrix,8,512,2026,0.9987799397829892
final_precluster_matrix,8,1024,2026,0.9986172804395075
robust_final_precluster_matrix,3,7,21,0.9989778395631148
robust_final_precluster_matrix,3,7,42,0.999912487985799
robust_final_precluster_matrix,3,7,84,0.9997715192823465
robust_final_precluster_matrix,3,7,123,0.9993568749643281
robust_final_precluster_matrix,3,7,168,0.9990069892947904
robust_final_precluster_matrix,3,7,256,0.9992936088032901
robust_final_precluster_matrix,3,7,512,0.9990069892947904
robust_final_precluster_matrix,3,7,1024,0.9990069892947904
robust_final_precluster_matrix,3,7,2026,0.9994927868878912
robust_final_precluster_matrix,3,21,42,0.9989486931651301
robust_final_precluster_matrix,3,21,84,0.9988563739645419
robust_final_precluster_matrix,3,21,123,0.9995042297214837
robust_final_precluster_matrix,3,21,168,0.9999125007451976
robust_final_precluster_matrix,3,21,256,0.9994507972766729
robust_final_precluster_matrix,3,21,512,0.9999125007451976
robust_final_precluster_matrix,3,21,1024,0.9999125007451976
robust_final_precluster_matrix,3,21,2026,0.9988434426633441
robust_final_precluster_matrix,3,42,84,0.9998590243804987
robust_final_precluster_matrix,3,42,123,0.9994443746446806
robust_final_precluster_matrix,3,42,168,0.9990361521735277
robust_final_precluster_matrix,3,42,256,0.9992061378582117
robust_final_precluster_matrix,3,42,512,0.9990361521735277
robust_final_precluster_matrix,3,42,1024,0.9990361521735277
robust_final_precluster_matrix,3,42,2026,0.9994053042253249
robust_final_precluster_matrix,3,84,123,0.9993520175325821
robust_final_precluster_matrix,3,84,168,0.9989438262820491
robust_final_precluster_matrix,3,84,256,0.9991138027805505
robust_final_precluster_matrix,3,84,512,0.9989438262820491
robust_final_precluster_matrix,3,84,1024,0.9989438262820491
robust_final_precluster_matrix,3,84,2026,0.9993129577308463
robust_final_precluster_matrix,3,123,168,0.9995917043994339
robust_final_precluster_matrix,3,123,256,0.9994216231020043
robust_final_precluster_matrix,3,123,512,0.9995917043994339
robust_final_precluster_matrix,3,123,1024,0.9995917043994339
robust_final_precluster_matrix,3,123,2026,0.9990474813998035
robust_final_precluster_matrix,3,168,256,0.9993633193998603
robust_final_precluster_matrix,3,168,512,1.0
robust_final_precluster_matrix,3,168,1024,1.0
robust_final_precluster_matrix,3,168,2026,0.9987559896779203
robust_final_precluster_matrix,3,256,512,0.9993633193998603
robust_final_precluster_matrix,3,256,1024,0.9993633193998603
robust_final_precluster_matrix,3,256,2026,0.9993924688944691
robust_final_precluster_matrix,3,512,1024,1.0
